name,id,uri
"AMAZON.COM, INC.",https://rdf.gleif.org/L1/L-ZXTILKJKG63JELOEG630,https://company.org/resource/Amazon.com%2C%20Inc.
APPLE INC.,https://rdf.gleif.org/L1/L-HWUPKR0MPOU8FGXBT394,https://company.org/resource/Apple%20Inc.
WALMART INC.,https://rdf.gleif.org/L1/L-Y87794H0US1R65VBXU25,https://company.org/resource/Walmart%20Inc.
MICROSOFT CORPORATION,https://rdf.gleif.org/L1/L-INR2EJN1ERAN0W5ZP974,https://company.org/resource/Microsoft%20Corporation
CVS HEALTH CORPORATION,https://rdf.gleif.org/L1/L-549300EJG376EN5NQE29,https://company.org/resource/CVS%20Health%20Corporation
INTEL CORPORATION,https://rdf.gleif.org/L1/L-KNX4USFCNGPY45LOCE31,https://company.org/resource/Intel%20Corporation
INTERNATIONAL BUSINESS MACHINES CORPORATION,https://rdf.gleif.org/L1/L-VGRQXHF3J8VDLUA7XE92,https://company.org/resource/International%20Business%20Machines%20Corporation
Accenture PLC,https://rdf.gleif.org/L1/L-549300JY6CF6DO4YFQ03,https://company.org/resource/Accenture%20plc
NVIDIA CORPORATION,https://rdf.gleif.org/L1/L-549300S4KLFTLO7GSQ80,https://company.org/resource/NVIDIA%20Corporation
COSTCO WHOLESALE CORPORATION,https://rdf.gleif.org/L1/L-29DX7H14B9S6O3FD6V18,https://company.org/resource/Costco%20Wholesale%20Corporation
Cigna International Health Services,https://rdf.gleif.org/L1/L-549300TS6LNLGYIGKQ07,https://company.org/resource/Cigna%20Global%20Health%20Benefits
Target Corporation,https://rdf.gleif.org/L1/L-8WDDFXB5T1Z6J0XC1L66,https://company.org/resource/Target%20Corporation
AMERISOURCEBERGEN CORPORATION,https://rdf.gleif.org/L1/L-AI8GXW8LG5WK7E9UD086,https://company.org/resource/AmerisourceBergen%20Corporation
THE KROGER CO.,https://rdf.gleif.org/L1/L-6CPEOKI6OYJ13Q6O7870,https://company.org/resource/The%20Kroger%20Company
"MARRIOTT INTERNATIONAL, INC.",https://rdf.gleif.org/L1/L-225YDZ14ZO8E1TXUSU86,https://company.org/resource/Marriott%20International%2C%20Inc.
"VMWARE, INC.",https://rdf.gleif.org/L1/L-549300BUDHS3LRWBE814,https://company.org/resource/VMware%2C%20Inc.
EXXONMOBIL OIL CORPORATION,https://rdf.gleif.org/L1/L-549300NCY2P2FLJT9D42,https://company.org/resource/ExxonMobil%20Corporation
FORD MOTOR COMPANY,https://rdf.gleif.org/L1/L-20S05OYHG0MQM4VUIC57,https://company.org/resource/Ford%20Motor%20Company
"PepsiCo, Inc.",https://rdf.gleif.org/L1/L-FJSUNZKFNQ5YPJ5OT455,https://company.org/resource/PepsiCo%2C%20Inc.
WELLS FARGO & COMPANY,https://rdf.gleif.org/L1/L-54930004W6Z9H2LPE588,https://company.org/resource/Wells%20Fargo%20%26%20Company
"CISCO SYSTEMS, INC.",https://rdf.gleif.org/L1/L-549300LKFJ962MZ46593,https://company.org/resource/Cisco%20Systems
GENERAL ELECTRIC COMPANY,https://rdf.gleif.org/L1/L-3C7474T6CDKPR9K6YT90,https://company.org/resource/General%20Electric
Dell Technologies Inc.,https://rdf.gleif.org/L1/L-549300TJB5YBRUPOG437,https://company.org/resource/Dell%20Technologies%20Inc.
CENTENE CORPORATION,https://rdf.gleif.org/L1/L-549300Z7JJ4TQSQGT333,https://company.org/resource/Centene%20Corporation
MARATHON PETROLEUM CORPORATION,https://rdf.gleif.org/L1/L-3BNYRYQHD39K4LCKQF12,https://company.org/resource/Marathon%20Petroleum
"TESLA, INC.",https://rdf.gleif.org/L1/L-54930043XZGB27CTOV49,https://company.org/resource/Tesla%2C%20Inc.
ORACLE CORPORATION,https://rdf.gleif.org/L1/L-1Z4GXXU7ZHVWFCD8TV52,https://company.org/resource/Oracle%20Corporation
STARBUCKS CORPORATION,https://rdf.gleif.org/L1/L-OQSJ1DU9TAOC51A47K68,https://company.org/resource/Starbucks%20Corporation
JPMORGAN CHASE & CO.,https://rdf.gleif.org/L1/L-8I5DZWZKVSZI1NUHU748,https://company.org/resource/JPMorgan%20Chase%20%26%20Co.
FEDEX CORPORATION,https://rdf.gleif.org/L1/L-549300E707U7WNPZN687,https://company.org/resource/FedEx%20Corporation
THERMO FISHER SCIENTIFIC INC.,https://rdf.gleif.org/L1/L-HCHV7422L5HDJZCRFL38,https://company.org/resource/Thermo%20Fisher%20Scientific%20Inc.
"SALESFORCE, INC.",https://rdf.gleif.org/L1/L-RCGZFPDMRW58VJ54VR07,https://company.org/resource/Salesforce%2C%20Inc.
RAYTHEON TECHNOLOGIES CORPORATION,https://rdf.gleif.org/L1/L-I07WOS4YJ0N7YRFE7309,https://company.org/resource/Raytheon%20Technologies%20Corporation
NORTHROP GRUMMAN CORPORATION,https://rdf.gleif.org/L1/L-RIMU48P07456QXSO0R61,https://company.org/resource/Northrop%20Grumman%20Corporation
"NIKE, INC.",https://rdf.gleif.org/L1/L-787RXPR0UX0O0XUXPZ81,https://company.org/resource/Nike%2C%20Inc.
